id,sexo,zona,macrozona,region,edad,p1_anyo,p1_mes,p2,p3,p4,p5,p6,p7,p8,p9_1,p9_2,p9_3,p9_4,p9_5
2343,2,2,4,13,49,1967,1,7,1,3,1,10,10,10,10,10,10,10,10
2352,2,2,4,13,62,1953,12,1,1,1,NA,7,10,10,10,10,10,10,10
2354,1,2,2,5,57,1959,1,3,1,1,NA,7,10,5,8,8,7,7,6
2358,2,2,2,5,54,1962,1,1,1,2,1,8,10,10,10,10,10,10,10
2360,2,2,2,5,52,1963,7,1,3,NA,NA,7,10,9,10,10,10,10,10
2364,2,2,4,13,25,1990,7,5,3,NA,NA,6,8,10,10,10,10,10,10
2367,2,1,2,5,39,1976,12,8,1,3,1,10,10,9,6,10,9,8,9
2368,1,1,3,8,49,1967,5,1,3,NA,NA,10,10,9,8,9,7,9,8
2369,2,1,3,8,38,1977,9,5,3,NA,NA,8,8,9,8,9,8,9,8
2389,2,2,2,5,42,1973,11,4,1,3,1,5,10,10,10,10,10,10,10
2395,2,2,2,5,38,1978,2,1,1,3,2,8,9,10,9,8,8,7,7
2415,2,2,3,9,20,1995,11,5,3,NA,NA,7,7,10,10,10,10,10,10
2419,2,2,3,9,20,1996,3,5,3,NA,NA,8,5,7,7,9,8,10,10
2436,2,2,4,13,33,1983,1,1,1,2,1,5,7,10,8,10,8,8,8
2447,2,2,4,13,31,1984,6,5,1,2,3,9,7,8,6,7,7,7,7
2450,1,2,4,13,20,1995,8,5,3,NA,NA,6,8,10,6,6,7,7,10
2456,2,2,4,13,53,1963,4,1,1,3,2,10,8,8,10,10,7,8,9
2460,1,2,4,13,71,1944,10,5,3,NA,NA,3,9,10,10,10,10,10,10
2474,1,1,3,9,42,1974,1,3,1,1,NA,7,8,8,7,8,9,8,8
2482,1,2,2,5,51,1965,3,1,1,1,NA,6,6,2,10,8,5,8,9
2486,2,2,2,5,69,1946,10,1,2,1,NA,7,6,99,6,7,8,8,7
2502,1,2,4,13,33,1982,10,1,1,3,3,9,9,4,7,8,8,8,7
2516,2,2,4,13,60,1956,1,1,2,1,NA,8,7,9,8,10,7,4,6
